sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
-574977193,11711679529,258848136,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,22.791020161458352,326.8886580396286,4796.7,3412.24,4784.25,3431.33
-57680087#0,715101487,715102342,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,76.37006547070686,349.53611829194534,3133.44,4882.11,3119.57,4957.21
-57680087#1,10211731973,715101487,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,4.7971762527548885,350.40023101773323,3134.24,4877.38,3133.44,4882.11
-57680087#2,715102688,10211731973,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,124.95608588620284,350.8037751876346,3154.21,4754.03,3134.24,4877.38
-57680089#0,715102238,471531832,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,6.889390393931362,30.43602840333466,3609.61,3768.78,3613.1,3774.72
-57680089#1,715101416,715102238,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,16.957001225192233,30.43642076661223,3601.02,3754.16,3609.61,3768.78
-57680089#2,715101774,715101416,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,30.03977716494417,26.55645078994519,3587.7,3727.51,3601.02,3754.16
-57680089#3,715102188,715101774,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,32.76423588488831,323.1710997825744,3606.13,3702.9,3587.7,3727.51
-57680089#4,715102509,715102188,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,66.26988637194685,288.1718083450883,3668.28,3682.5,3606.13,3702.9
-57680089#5,6992871166,715102509,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,95.89433335251978,275.24646964155784,3763.57,3673.75,3668.28,3682.5
