sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
1241013765#2,11220762168,2902747548,10,highway.tertiary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,5.723443019721752,349.6324765041015,3919.36,2829.74,3918.33,2835.37
1241013767,1583941332,4878005148,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,33.63902495614274,349.17108422438145,4005.87,2816.43,3999.55,2849.47
1241013768,1831132064,1583941332,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,42.95570392858202,350.0530610852261,4013.29,2774.12,4005.87,2816.43
1241013771,2902746549,2902746547,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,5.966850090290904,148.36104421084622,4765.98,2336.53,4769.11,2331.45
1241013772#0,277363302,1583941161,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,56.632468602384,79.64447894437518,4797.1,2172.14,4852.81,2182.32
1241013772#1,1583941161,1583941177,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,48.663121560376595,79.64144566461187,4852.81,2182.32,4900.68,2191.07
1241013772#2,1583941177,1583941185,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,66.17527811077113,80.25584153924854,4900.68,2191.07,4965.9,2202.27
1241013772#3,1583941185,4836976353,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,79.07736394127667,79.77292176242219,4965.9,2202.27,5043.72,2216.31
1241013772#4,4836976353,4836976391,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,106.13213491466801,79.97231813936423,5043.72,2216.31,5148.23,2234.79
1241013772#5,4836976391,4836976392,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,63.81343510578397,79.9280455986497,5148.23,2234.79,5211.06,2245.95
1241013772#6,4836976392,4836976362,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,60.17033488356179,79.91148512298508,5211.06,2245.95,5270.3,2256.49
1241013772#7,4836976362,12331159039,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,73.1116803253765,79.86127655020528,5270.3,2256.49,5342.27,2269.36
1241013772#8,12331159039,277363385,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,16.668491233461843,80.71285913433621,5342.27,2269.36,5358.72,2272.05
1255928828,254861937,275920427,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,41.158591018677484,157.8389116799641,3509.41,1932.25,3524.92,1894.17
1255928829,275919219,254862099,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,43.22352674156543,203.713594886341,3530.56,1764.73,3513.64,1726.21
1255928830,254862111,275919219,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,39.82677801424356,336.6496253076528,3546.08,1728.78,3530.56,1764.73
1271290826#0,11805897266,1603469719,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,84.2161493711625,321.42845337633395,4165.44,3582.14,4117.4,3642.38
